Employee_ID,Experience_Years,Salary,Department
1,1,25000,HR
2,2,30000,IT
3,3,35000,Finance
4,4,40000,IT
5,5,45000,HR
6,6,50000,Finance
7,7,55000,IT
8,8,60000,HR
9,9,65000,Finance
10,10,70000,IT
11,2,28000,HR
12,3,33000,IT
13,4,38000,Finance
14,5,43000,IT
15,6,48000,HR
16,7,53000,Finance
17,8,58000,IT
18,9,63000,HR
19,10,68000,Finance
20,11,73000,
21,1,26000,HR
22,2,31000,
23,3,36000,Finance
24,,41000,IT
25,5,,HR
26,6,52000,Finance
27,7,57000,IT
28,8,62000,HR
29,9,200000,Finance
30,15,300000,IT
